file, ra, dec, redshift,survey, dropped, continuum, classification, delta_BIC, outflow, fit_fail, hit_limit, nburst_file, error message
spec-2291-53714-0529.fits, 140.87209795929527, 25.76910414903142, 0.04985169321298599, sdss, 0, 1, 0, 4.423999234061625, 1, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/out_/nbursts_sdss_02291_53714_00529.fits, 
spec-2440-53818-0135.fits, 141.02205254569446, 14.17259247774452, 0.13573259115219116, sdss, 0, 1, 0, 31.970981445616644, 0, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/nl_/nbursts_sdss_02440_53818_00135.fits, 
desiSp1d_21512-thru20211116-4553.fits, 141.55207556722746, 4.60269928743533, 0.1659260435480429, desi, 0, 1, 1, 330.1949569449216, 0, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/bl_/nbursts_desi_21512_20211116_4553.fits, 
desiSp1d_21542-thru20220305-3458.fits, 142.235306638446, -2.226640603656929, 0.14909393616490552, desi, 0, 1, 1, 798.4226450146843, 1, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/out_/nbursts_desi_21542_20220305_3458.fits, 
desiSp1d_80697-thru20210404-24.fits, 145.04201201596874, 31.329857380046125, 0.05292083007065564, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] No input spectrum found
spec-101291-60017-27021600230546401.fits, 145.3750404415265, 7.711054020030358, 0.0013824512716382742, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] Halpha BL not significantly detected
desiSp1d_21917-thru20211118-1846.fits, 148.03983283152968, 21.72035421365197, 0.07878577886483745, desi, 0, 1, 0, 155.3500621061712, 1, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/out_/nbursts_desi_21917_20211118_1846.fits, 
spec-4566-55630-0764.fits, 151.12745448257544, 41.23489916148414, 0.22548004984855652, sdss, 0, 1, 0, 95.18453616058036, 1, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/out_/nbursts_sdss_04566_55630_00764.fits, 
spec-4875-55677-0714.fits, 152.00015919142436, 7.50473756889838, 0.06838588416576385, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-4691-55651-0412.fits, 157.35944014835218, 43.23537855017524, 0.2668537497520447, sdss, 0, 1, 1, 39.5449799377202, 1, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/out_/nbursts_sdss_04691_55651_00412.fits, 
desiSp1d_80656-thru20210202-4393.fits, 157.56021495287757, 43.25593469796936, 0.09882417769755486, desi, 0, 1, 1, 3773.197272228401, 1, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/out_/nbursts_desi_80656_20210202_4393.fits, 
desiSp1d_9296-thru20211215-2481.fits, 157.56797827114008, 5.57252009004712, 0.3364092943054674, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_24468-thru20220217-116.fits, 158.53573050612204, 60.0311198637902, 0.050821853865724034, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] No input spectrum found
desiSp1d_23621-thru20220424-2358.fits, 161.21564020954816, 6.596571364253211, 0.027659844999796013, desi, 0, 1, 1, 2262.4747288952353, 1, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/out_/nbursts_desi_23621_20220424_2358.fits, 
spec-1749-53357-0192.fits, 161.6456847486195, 13.750784524660132, 0.009818753227591515, sdss, 0, 1, -1, 45.65395059445507, 1, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/out_/nbursts_sdss_01749_53357_00192.fits, 
spec-8178-57428-0536.fits, 162.0315145305617, 56.67238897989434, 1.1971616744995117, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-1220-52723-0484.fits, 165.07504728461436, 10.049232144219, 0.03601862117648125, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_20474-thru20220213-2276.fits, 167.48802984626263, 2.0274052241352902, 0.06382326189685865, desi, 0, 1, 1, 4042.092632594049, 1, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/out_/nbursts_desi_20474_20220213_2276.fits, 
spec-1437-53046-0636.fits, 167.91663714976892, 40.9713417753001, 0.07729693502187729, sdss, 0, 1, 1, 733.5386650557333, 0, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/bl_/nbursts_sdss_01437_53046_00636.fits, 
desiSp1d_23581-thru20220213-1907.fits, 169.69616648174178, 7.905982617720421, 0.12724909583646968, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_9284-thru20220207-1191.fits, 169.90930941225918, -2.9939615870638177, 0.12607936308991616, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_7893-thru20220219-1865.fits, 171.01648355983627, 43.1731907552613, 0.7778770671147934, desi, 0, 0, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_41606-thru20220319-267.fits, 171.75124176545376, 56.938152285398, 0.07387604207784271, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] No input spectrum found
spec-1014-52707-0463.fits, 173.3500217360596, 55.07108748275976, 0.00905786082148552, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-1224-52765-0589.fits, 175.31930809089158, 10.474439388293389, 0.10342051088809967, sdss, 0, 1, 1, 61.796409998230956, 0, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/bl_/nbursts_sdss_01224_52765_00589.fits, 
spec-6423-56313-0400.fits, 177.3559355972974, 22.403593571392587, 0.1944817155599594, sdss, 0, 1, 1, 8315.741660969086, 0, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/bl_/nbursts_sdss_06423_56313_00400.fits, 
spec-103020-60087-27021600025507781.fits, 177.99841915056368, -2.4303953255450432, -0.0009206644026562572, sdss, 0, 1, 0, 24.26301927548957, 0, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/nl_/nbursts_sdss_103020_60087_27021600025507781.fits, 
desiSp1d_6281-thru20220404-1067.fits, 182.43815301987703, -5.020460489771663, 0.12872462364222592, desi, 0, 1, 1, 29229.769015440623, 1, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/out_/nbursts_desi_6281_20220404_1067.fits, 
spec-015249-59265-7575035891.fits, 184.531671117768, 28.23690175929513, 0.10746324062347412, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-015249-59265-7575035904.fits, 184.6656552431258, 28.02482688023054, -0.0034594745375216007, sdss, 0, 1, 0, 14.634271478565097, 0, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/nl_/nbursts_sdss_15249_59265_00000.fits, 
spec-2234-53823-0238.fits, 187.2645825567212, 29.779520071121244, 0.08142966777086258, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] Halpha BL not significantly detected
desiSp1d_94-thru20210407-2495.fits, 188.8400621933212, 62.30189130995046, 0.1357299101763046, desi, 0, 1, 1, 90.55696913395059, 1, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/out_/nbursts_desi_94_20210407_2495.fits, 
spec-2236-53729-0213.fits, 189.4216498703454, 26.70766903391313, 0.020761102437973022, sdss, 0, 1, 1, 64.25518216946728, 1, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/out_/nbursts_sdss_02236_53729_00213.fits, 
desiSp1d_1582-thru20220504-1366.fits, 192.19549093600767, -5.658580829032154, 0.09825125205672208, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] No input spectrum found
desiSp1d_8446-thru20220428-1895.fits, 194.6036272757424, 34.94382278635538, 0.2978762799560284, desi, 0, 1, 1, 24.533801374432187, 0, 0, 1, /Users/f007znp/Research/pro/trial4/DESI/bl_/nbursts_desi_8446_20220428_1895.fits, 
desiSp1d_115-thru20210417-418.fits, 194.6961884591848, 27.976646217181703, 1.608574774077568, desi, 0, 0, 0, 9999, 0, 1, 0, none, [ERROR] No input spectrum found
spec-2088-53493-0397.fits, 196.2373362948544, 39.9249304795182, 0.027444321662187576, sdss, 0, 1, 1, 328.92764916432543, 0, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/bl_/nbursts_sdss_02088_53493_00397.fits, 
spec-015296-59316-6044980413.fits, 198.4281725387564, 47.26048115843767, -0.0018307124264538288, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-015296-59316-6044980010.fits, 198.4886641481144, 47.2217416921463, 0.008096021600067616, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-015296-59316-4351781254.fits, 198.49495055198577, 47.25416215276456, -0.0029889391735196114, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_42515-thru20220514-3697.fits, 199.5180009801664, 41.29293860151253, 0.06751551777557988, desi, 0, 1, 1, 7608.630913748431, 0, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/bl_/nbursts_desi_42515_20220514_3697.fits, 
spec-015300-59348-7575037584.fits, 203.39494082410687, 50.50133745149415, 0.251790314912796, sdss, 0, 1, 0, 41.944947340365616, 0, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/nl_/nbursts_sdss_15300_59348_00000.fits, 
desiSp1d_25888-thru20220120-1814.fits, 204.5740846054776, 48.27804106831514, 0.02798004539388167, desi, 0, 1, 1, 18927.712521863985, 1, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/out_/nbursts_desi_25888_20220120_1814.fits, 
desiSp1d_23134-thru20220202-2147.fits, 205.9625359324616, 0.0763930035904869, 0.07382802613458897, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] No input spectrum found
spec-015300-59348-7575037766.fits, 206.28813721290248, 49.92057303018419, -0.0018357158405706286, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-015301-59314-7575037799.fits, 206.98421014239185, 26.536969898176263, 0.044051531702280045, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_24297-thru20220221-4836.fits, 208.5377766584033, 33.68770417788937, 0.07800384184666163, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-104564-60057-27021600789845515.fits, 209.2556406873444, 62.7119335889374, -0.003906797617673874, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-015302-59315-7575037960.fits, 209.55293629064224, 51.71451742761008, 0.006979007739573717, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-015303-59280-7575037969.fits, 209.69362036403697, 62.4498463001767, 0.005363862961530685, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] Halpha BL not significantly detected
desiSp1d_20111-thru20210606-3173.fits, 210.2967202272681, 2.914654072227211, 0.2113539009644199, desi, 0, 1, 1, 2014.0965975626264, 1, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/out_/nbursts_desi_20111_20210606_3173.fits, 
spec-015304-59281-6031860159.fits, 210.55553718316327, 54.50644214077739, -0.003906797617673874, sdss, 0, 1, 0, 9999, 0, 0, 0, /Users/f007znp/Research/pro/trial4/SDSS_BOSS/nl_/nbursts_sdss_15304_59281_00000.fits, 
desiSp1d_22726-thru20220317-1901.fits, 213.55546710406225, 36.15331742681642, 0.011744864298100195, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_175-thru20210407-2353.fits, 214.3301951489633, 53.13570515853731, 0.23772193078830034, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_24346-thru20220126-2303.fits, 216.02596148545365, 23.10616153202563, 0.04760475760434481, desi, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
spec-015325-59347-7114392596.fits, 216.3790265929676, 33.82337552098963, 0.2697601318359375, sdss, 0, 1, 0, 9999, 0, 1, 0, none, [ERROR] nan Halpha flux
desiSp1d_210-thru20210430-2017.fits, 216.464073853658, 35.56782119234538, 0.1870831982589768, desi, 0, 1, 0, 14.82996644481591, 0, 0, 0, /Users/f007znp/Research/pro/trial4/DESI/nl_/nbursts_desi_210_20210430_2017.fits, 
