file,classification,fit flag
../../pro/SDSS_BOSS/scripttest/5403/nbursts_sdss_05403_55979_00606.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/5403/nbursts_sdss_05403_55979_00032.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/937/nbursts_sdss_00937_52707_00566.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1601/nbursts_sdss_01601_53115_00526.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1433/nbursts_sdss_01433_53035_00302.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1265/nbursts_sdss_01265_52705_00144.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1265/nbursts_sdss_01265_52705_00148.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/2440/nbursts_sdss_02440_53818_00139.fits,broad,False
../../pro/SDSS_BOSS/scripttest/6014/nbursts_sdss_06014_56072_00554.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1231/nbursts_sdss_01231_52725_00497.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1231/nbursts_sdss_01231_52725_00228.fits,broad,False
../../pro/SDSS_BOSS/scripttest/101124/nbursts_sdss_101124_59954_27021597907907341.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2229/nbursts_sdss_02229_53823_00346.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2229/nbursts_sdss_02229_53823_00020.fits,broad,False
../../pro/SDSS_BOSS/scripttest/352/nbursts_sdss_00352_51694_00362.fits,broad,False
../../pro/SDSS_BOSS/scripttest/736/nbursts_sdss_00736_52210_00419.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2211/nbursts_sdss_02211_53786_00637.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1209/nbursts_sdss_01209_52674_00473.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/355/nbursts_sdss_00355_51788_00195.fits,broad,True
../../pro/SDSS_BOSS/scripttest/355/nbursts_sdss_00355_51788_00486.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1699/nbursts_sdss_01699_53148_00164.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1699/nbursts_sdss_01699_53148_00493.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1699/nbursts_sdss_01699_53148_00498.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/102931/nbursts_sdss_102931_59953_27021597914517931.fits,broad,True
../../pro/SDSS_BOSS/scripttest/2015/nbursts_sdss_02015_53819_00233.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/2015/nbursts_sdss_02015_53819_00249.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2227/nbursts_sdss_02227_53820_00531.fits,broad,True
../../pro/SDSS_BOSS/scripttest/3930/nbursts_sdss_03930_55332_00722.fits,broad,False
../../pro/SDSS_BOSS/scripttest/104655/nbursts_sdss_104655_59878_27021597940699420.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/104655/nbursts_sdss_104655_59827_27021597940699022.fits,broad,True
../../pro/SDSS_BOSS/scripttest/6680/nbursts_sdss_06680_56420_00262.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/955/nbursts_sdss_00955_52409_00466.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1451/nbursts_sdss_01451_53117_00431.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/390/nbursts_sdss_00390_51816_00447.fits,broad,True
../../pro/SDSS_BOSS/scripttest/102909/nbursts_sdss_102909_59973_27021597918957144.fits,broad,True
../../pro/SDSS_BOSS/scripttest/5980/nbursts_sdss_05980_56338_00160.fits,broad,True
../../pro/SDSS_BOSS/scripttest/15250/nbursts_sdss_15250_59267_00000.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1381/nbursts_sdss_01381_53089_00238.fits,broad,True
../../pro/SDSS_BOSS/scripttest/827/nbursts_sdss_00827_52312_00211.fits,broad,True
../../pro/SDSS_BOSS/scripttest/447/nbursts_sdss_00447_51877_00469.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/5987/nbursts_sdss_05987_56339_00226.fits,broad,False
../../pro/SDSS_BOSS/scripttest/1386/nbursts_sdss_01386_53116_00352.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/2503/nbursts_sdss_02503_53856_00086.fits,broad,True
../../pro/SDSS_BOSS/scripttest/15065/nbursts_sdss_15065_59386_00000.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/15065/nbursts_sdss_15065_59383_00000.fits,broad,True
../../pro/SDSS_BOSS/scripttest/101263/nbursts_sdss_101263_59949_27021598130947738.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/4609/nbursts_sdss_04609_56251_00478.fits,broad,True
../../pro/SDSS_BOSS/scripttest/101297/nbursts_sdss_101297_59662_27021600034562579.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/101297/nbursts_sdss_101297_59662_27021600052074298.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/2151/nbursts_sdss_02151_54523_00103.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/2151/nbursts_sdss_02151_54523_00107.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/15053/nbursts_sdss_15053_59230_00000.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/15266/nbursts_sdss_15266_59306_00000.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/15054/nbursts_sdss_15054_59232_00000.fits,broad,True
../../pro/SDSS_BOSS/scripttest/7424/nbursts_sdss_07424_57160_00253.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1125/nbursts_sdss_01125_52606_00091.fits,broad,True
../../pro/SDSS_BOSS/scripttest/2102/nbursts_sdss_02102_54115_00300.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2102/nbursts_sdss_02102_54115_00293.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/4691/nbursts_sdss_04691_55651_00412.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/422/nbursts_sdss_00422_51878_00617.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/422/nbursts_sdss_00422_51811_00613.fits,broad,True
../../pro/SDSS_BOSS/scripttest/610/nbursts_sdss_00610_52056_00267.fits,broad,True
../../pro/SDSS_BOSS/scripttest/4206/nbursts_sdss_04206_55471_00875.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1310/nbursts_sdss_01310_53033_00239.fits,broad,False
../../pro/SDSS_BOSS/scripttest/15007/nbursts_sdss_15007_59168_00000.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/100775/nbursts_sdss_100775_60037_27021597907702324.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/102022/nbursts_sdss_102022_59644_27021598104221268.fits,broad,True
../../pro/SDSS_BOSS/scripttest/6593/nbursts_sdss_06593_56270_00074.fits,broad,True
../../pro/SDSS_BOSS/scripttest/2133/nbursts_sdss_02133_53917_00537.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/621/nbursts_sdss_00621_52055_00229.fits,broad,True
../../pro/SDSS_BOSS/scripttest/104541/nbursts_sdss_104541_59728_27021600595309773.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1321/nbursts_sdss_01321_52764_00629.fits,broad,False
../../pro/SDSS_BOSS/scripttest/2762/nbursts_sdss_02762_54533_00635.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/7446/nbursts_sdss_07446_56722_00024.fits,broad,True
../../pro/SDSS_BOSS/scripttest/5729/nbursts_sdss_05729_56598_00772.fits,broad,True
../../pro/SDSS_BOSS/scripttest/5729/nbursts_sdss_05729_56598_00362.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/477/nbursts_sdss_00477_52026_00364.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/101291/nbursts_sdss_101291_60017_27021598150354826.fits,broad,True
../../pro/SDSS_BOSS/scripttest/483/nbursts_sdss_00483_51942_00039.fits,broad,True
../../pro/SDSS_BOSS/scripttest/6193/nbursts_sdss_06193_56237_00697.fits,broad,True
../../pro/SDSS_BOSS/scripttest/15055/nbursts_sdss_15055_59230_00000.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/4630/nbursts_sdss_04630_55623_00260.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1721/nbursts_sdss_01721_53857_00499.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/1721/nbursts_sdss_01721_53857_00493.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1721/nbursts_sdss_01721_53857_00465.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/15052/nbursts_sdss_15052_59229_00000.fits,broad,True
../../pro/SDSS_BOSS/scripttest/6194/nbursts_sdss_06194_56190_00936.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2150/nbursts_sdss_02150_54510_00161.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/100140/nbursts_sdss_100140_59678_27021597912079124.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/446/nbursts_sdss_00446_51899_00271.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1373/nbursts_sdss_01373_53063_00103.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1373/nbursts_sdss_01373_53063_00068.fits,broad,True
../../pro/SDSS_BOSS/scripttest/15064/nbursts_sdss_15064_59373_00000.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2354/nbursts_sdss_02354_53799_00121.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/3286/nbursts_sdss_03286_54910_00622.fits,broad,True
../../pro/SDSS_BOSS/scripttest/2166/nbursts_sdss_02166_54232_00454.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/103158/nbursts_sdss_103158_59718_27021598417460222.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/103158/nbursts_sdss_103158_59718_27021598417540501.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2962/nbursts_sdss_02962_54578_00310.fits,broad,True
../../pro/SDSS_BOSS/scripttest/5720/nbursts_sdss_05720_56602_00468.fits,broad,True
../../pro/SDSS_BOSS/scripttest/2353/nbursts_sdss_02353_53794_00129.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/6151/nbursts_sdss_06151_56265_00956.fits,broad,True
../../pro/SDSS_BOSS/scripttest/2307/nbursts_sdss_02307_53710_00430.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/872/nbursts_sdss_00872_52339_00465.fits,broad,False
../../pro/SDSS_BOSS/scripttest/101809/nbursts_sdss_101809_59828_27021597827765523.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/627/nbursts_sdss_00627_52144_00579.fits,broad,True
../../pro/SDSS_BOSS/scripttest/415/nbursts_sdss_00415_51810_00085.fits,broad,False
../../pro/SDSS_BOSS/scripttest/100745/nbursts_sdss_100745_59653_27021597906850983.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1327/nbursts_sdss_01327_52781_00377.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/3226/nbursts_sdss_03226_54857_00350.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1311/nbursts_sdss_01311_52765_00001.fits,broad,False
../../pro/SDSS_BOSS/scripttest/7449/nbursts_sdss_07449_56740_00788.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/616/nbursts_sdss_00616_52374_00070.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/844/nbursts_sdss_00844_52378_00568.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/3687/nbursts_sdss_03687_55269_00806.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/423/nbursts_sdss_00423_51821_00327.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/20923/nbursts_sdss_020923_60033_27021598151127823.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/5319/nbursts_sdss_05319_55953_00602.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1927/nbursts_sdss_01927_53321_00434.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1927/nbursts_sdss_01927_53321_00152.fits,broad,False
../../pro/SDSS_BOSS/scripttest/1927/nbursts_sdss_01927_53321_00230.fits,broad,False
../../pro/SDSS_BOSS/scripttest/1927/nbursts_sdss_01927_53321_00247.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2777/nbursts_sdss_02777_54554_00440.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/892/nbursts_sdss_00892_52378_00612.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/892/nbursts_sdss_00892_52378_00611.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/6323/nbursts_sdss_06323_56189_00966.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/15023/nbursts_sdss_15023_59253_00000.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/1768/nbursts_sdss_01768_53442_00208.fits,broad,False
../../pro/SDSS_BOSS/scripttest/2589/nbursts_sdss_02589_54174_00071.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2589/nbursts_sdss_02589_54174_00028.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/4641/nbursts_sdss_04641_55947_00382.fits,broad,True
../../pro/SDSS_BOSS/scripttest/15024/nbursts_sdss_15024_59201_00000.fits,broad,False
../../pro/SDSS_BOSS/scripttest/1757/nbursts_sdss_01757_53083_00534.fits,broad,True
../../pro/SDSS_BOSS/scripttest/103118/nbursts_sdss_103118_60053_27021597919548420.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1305/nbursts_sdss_01305_52757_00274.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/1305/nbursts_sdss_01305_52757_00194.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/4445/nbursts_sdss_04445_55622_00040.fits,broad,True
../../pro/SDSS_BOSS/scripttest/2574/nbursts_sdss_02574_54084_00466.fits,broad,True
../../pro/SDSS_BOSS/scripttest/2574/nbursts_sdss_02574_54084_00467.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/605/nbursts_sdss_00605_52353_00212.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/2128/nbursts_sdss_02128_53800_00207.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/2117/nbursts_sdss_02117_54115_00351.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/15015/nbursts_sdss_15015_59166_00000.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/101418/nbursts_sdss_101418_60119_27021598745459099.fits,broad,True
../../pro/SDSS_BOSS/scripttest/101271/nbursts_sdss_101271_59924_27021598130923309.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1369/nbursts_sdss_01369_53089_00280.fits,broad,False
../../pro/SDSS_BOSS/scripttest/15274/nbursts_sdss_15274_59296_00000.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/7052/nbursts_sdss_07052_56539_00209.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/5361/nbursts_sdss_05361_55973_00498.fits,broad,True
../../pro/SDSS_BOSS/scripttest/2144/nbursts_sdss_02144_53770_00522.fits,broad,True
../../pro/SDSS_BOSS/scripttest/2144/nbursts_sdss_02144_53770_00532.fits,broad,False
../../pro/SDSS_BOSS/scripttest/2947/nbursts_sdss_02947_54533_00414.fits,broad,False
../../pro/SDSS_BOSS/scripttest/104536/nbursts_sdss_104536_60119_27021598160702160.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/103979/nbursts_sdss_103979_59982_27021598053381266.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/656/nbursts_sdss_00656_52148_00427.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/656/nbursts_sdss_00656_52148_00477.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/2172/nbursts_sdss_02172_54230_00364.fits,broad,False
../../pro/SDSS_BOSS/scripttest/100366/nbursts_sdss_100366_60037_27021597918673565.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/660/nbursts_sdss_00660_52177_00454.fits,broad,False
../../pro/SDSS_BOSS/scripttest/101278/nbursts_sdss_101278_59923_27021598128495400.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/832/nbursts_sdss_00832_52312_00154.fits,broad,True
../../pro/SDSS_BOSS/scripttest/832/nbursts_sdss_00832_52312_00606.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/832/nbursts_sdss_00832_52312_00164.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/4878/nbursts_sdss_04878_55710_00430.fits,broad,True
../../pro/SDSS_BOSS/scripttest/8226/nbursts_sdss_08226_57423_00496.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/667/nbursts_sdss_00667_52163_00205.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/667/nbursts_sdss_00667_52163_00419.fits,broad,False
../../pro/SDSS_BOSS/scripttest/667/nbursts_sdss_00667_52163_00209.fits,broad,True
../../pro/SDSS_BOSS/scripttest/103180/nbursts_sdss_103180_60119_27021598422882500.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/100792/nbursts_sdss_100792_59981_27021597908536320.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/15014/nbursts_sdss_15014_59165_00000.fits,broad,True
../../pro/SDSS_BOSS/scripttest/409/nbursts_sdss_00409_51871_00221.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/409/nbursts_sdss_00409_51871_00037.fits,broad,False
../../pro/SDSS_BOSS/scripttest/103574/nbursts_sdss_103574_59846_27021597927085016.fits,narrow,False
../../pro/SDSS_BOSS/scripttest/2778/nbursts_sdss_02778_54539_00331.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/603/nbursts_sdss_00603_52056_00055.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/6748/nbursts_sdss_06748_56371_00559.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/6748/nbursts_sdss_06748_56371_00557.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/4444/nbursts_sdss_04444_55538_00298.fits,broad,True
../../pro/SDSS_BOSS/scripttest/1304/nbursts_sdss_01304_52993_00538.fits,broad,True
../../pro/SDSS_BOSS/scripttest/100757/nbursts_sdss_100757_59977_27021597918587371.fits,broad,False
../../pro/SDSS_BOSS/scripttest/5302/nbursts_sdss_05302_55896_00629.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/438/nbursts_sdss_00438_51884_00618.fits,broad,True
../../pro/SDSS_BOSS/scripttest/104552/nbursts_sdss_104552_59734_27021600707261862.fits,narrow,True
../../pro/SDSS_BOSS/scripttest/104552/nbursts_sdss_104552_59734_27021601618518336.fits,broad,True
